,Property Address,Area,Beds,Full Baths,Half Baths,Locality,Lot Size,Price,Property Address_latitude,Property Address_longitude
0,0 Gateway,,,,,"Rock Springs, WY 82901",,"$725,000",61.577023,-149.255874
1,1003 Winchester Blvd.,,4.0,4.0,,"Rock Springs, WY 82901",0.21 Acres,"$452,900",,
2,3239 Spearhead Way,"3,076",4.0,3.0,1.0,"Rock Springs, WY 82901","Under 1/2 Acre, ","$379,900",,
3,600 Talladega,"3,154",5.0,3.0,,"Rock Springs, WY 82901",,"$379,000",33.434936,-86.106204
4,3457 Brisol Avenue,"3,236",5.0,3.0,,"Rock Springs, WY 82901",0.34 Acres,"$349,900",,
5,234 Via Spoleto,"2,688",4.0,3.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$330,000",42.7453344,12.7384305
6,2425 Cripple Creek,"8,263",4.0,35.0,,"Rock Springs, WY 82901",,"$279,900",38.74569,-105.178358
7,522 Emerald Street,"1,172",3.0,3.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$254,000",,
8,1302 Veteran's Drive,"1,932",4.0,2.0,,"Rock Springs, WY 82901",0.27 Acres,"$252,900",,
9,343 Via Rucce,,3.0,2.0,1.0,"Rock Springs, WY 82901",0.16 Acres,"$219,900",41.592183016051,-109.268268015826
10,913 Madison Dr,"1,344",3.0,2.0,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$209,000",,
