,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
0,Feel music,10/06/2024 10:00,120,Opéra de Sydney,"#Bennelong Point Sydney, NSW 2000",0,0,Going fast,https://www.eventbrite.com.au/e/feel-music-tickets-894977811727?aff=ebdssbdestsearch,-33.85716,151.21496
1,Harmony Festival Sydney 2024,10/06/2024 18:30,150,2 Australia Ave,"nue Sydney Olympic Park, NSW 2127",0,0,Sales end soon,https://www.eventbrite.com.au/e/harmony-festival-sydney-2024-tickets-910122429687?aff=ebdssbdestsearch,-33.83851937,151.0623842
2,Silent Disco Party Walk - Vivid Tours - Circular Quay,10/06/2024 18:30,,Customs House,"31 Alfred St Sydney, NSW 2000",0,69.07,Sales end soon,https://www.eventbrite.com.au/e/silent-disco-party-walk-vivid-tours-circular-quay-tickets-882707811827?aff=ebdssbdestsearch,-33.8621982,151.2108572
3,VIVID SYDNEY Silent Disco Tour by DISCO LOCO,10/06/2024 19:00,,Chinese Garden of Friendship,"Cnr Harbour Street Darling Harbour, NSW 2000",34.4,37.55,Sales end soon,https://www.eventbrite.com.au/e/vivid-sydney-silent-disco-tour-by-disco-loco-tickets-872264816547?aff=ebdssbdestsearch,-33.87833322,151.2032986
4,Guitar School : Children - June,11/06/2024 16:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0,0,Sales end soon,https://www.eventbrite.com.au/e/guitar-school-children-june-tickets-896764666257?aff=ebdssbdestsearch,-33.85869038,150.8987449
5,Guitar School: Youth/Adults - June,11/06/2024 17:00,,Wetherill Park Library,"561-583 Polding Street Wetherill Park, NSW 2164",0,0,Going fast,https://www.eventbrite.com.au/e/guitar-school-youthadults-june-tickets-896767113577?aff=ebdssbdestsearch,-33.85869038,150.8987449
6,RINGO BINGO MUSIC BINGO CLARENDON TAVERN TUESDAYS,11/06/2024 19:00,,Clarendon Tavern,"244 Hawkesbury Valley Way Clarendon, NSW 2756",,,Sales end soon,https://www.eventbrite.com.au/e/ringo-bingo-music-bingo-clarendon-tavern-tuesdays-tickets-795811261907?aff=ebdssbdestsearch,-33.6085326,150.7887977
7,"Soda Tuesday - Free Drink on Arrival, $1 HotDogs & Musical Bingo",11/06/2024 19:00,,The Soda Factory,"16 Wentworth Avenue Surry Hills, NSW 2010",0,0,Sales end soon,https://www.eventbrite.com.au/e/soda-tuesday-free-drink-on-arrival-1-hotdogs-musical-bingo-tickets-517134070927?aff=ebdssbdestsearch,-33.87798409,151.2117896
8,Tuesday Live Jazz,11/06/2024 19:30,,185 Glebe Point Rd,"185 Glebe Point Road Glebe, NSW 2037",0,0,Sales end soon,https://www.eventbrite.com.au/e/tuesday-live-jazz-tickets-834606930797?aff=ebdssbdestsearch,-33.88061689,151.1879062
9,Bondi Lines & Scary Canary Silent Disco Tuesday - Free Drink on Entry,11/06/2024 21:00,,The Scary Canary,"469 Kent Street Sydney, NSW 2000",0,0,Sales end soon,https://www.eventbrite.com.au/e/bondi-lines-scary-canary-silent-disco-tuesday-free-drink-on-entry-tickets-621459571307?aff=ebdssbdestsearch,-33.87306215,151.2049104
